,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Gazepath,Dispersion,Velocity,Count,Avg. Duration,Cum. Duration,,Ground Truth,Gazepath,Dispersion,Velocity,Ground Truth,Gazepath,Dispersion,Velocity
1,295,186,99,318.722,535.0161,1016.121,94023,99513,100596,229,429.4803,98351,,,,,,,,,
2,208,174,100,442.726,566.1667,996.4,92087,98513,99640,198,494.4343,97898,,,,,,,,,
3,242,188,86,399.9587,545.8191,1202.314,96790,102614,103399,215,471.414,101354,,,,,,,,,
4,222,164,106,428.9009,609.6341,949.4811,95216,99980,100645,201,495.5721,99610,,,,,,,,,
5,176,157,109,569.6136,661.7325,956.8716,100252,103892,104299,184,557.125,102511,,,,,,,,,
6,125,75,30,813.048,1389.453,3481.467,101631,104209,104444,103,1007.592,103782,,,,,,,,,
7,203,166,84,472.4926,598.4398,1195.667,95916,99341,100436,199,493.4874,98204,,,,,,,,,
8,236,162,51,401.1017,624.3025,2005.51,94660,101137,102281,199,500.1055,99521,,,,,,,,,
9,247,175,86,388.5385,573.9829,1173.5,95969,100447,100921,206,481.2718,99142,,,,,,,,,
10,282,224,145,344.6702,463.4241,720.9517,97197,103807,104538,276,374.0362,103234,,,,,,,,,
11,105,88,54,969.0667,1190.727,1947.556,101752,104784,105168,103,1006.01,103619,,,,,,,,,
12,269,207,104,350.4498,488.8841,982.6154,94271,101199,102192,244,408.7049,99724,,,,,,,,,
13,305,230,176,308.7902,442.0826,580.392,94181,101679,102149,264,381.3447,100675,,,,,,,,,
14,270,227,153,363.6852,454.793,675.1699,98195,103238,103301,260,393.3192,102263,,,,,,,,,
15,195,158,115,495.5026,647.9684,892,96623,102379,102580,199,511.2563,101740,,,,,,,,,
16,220,163,108,446.4227,635.9018,963.0278,98213,103652,104007,205,504.322,103386,,,,,,,,,
17,127,160,125,545.0866,446.9813,600.624,69226,71517,75078,184,378.9946,69735,,,,,,,,,
18,306,224,149,313.1373,455.6786,689.3624,95820,102072,102715,270,376.0407,101531,,,,,,,,,
19,280,212,148,338.6357,471.6132,683.527,94818,99982,101162,252,395.2619,99606,,,,,,,,,
20,197,159,84,489.5584,628.3082,1200.345,96443,99901,100829,191,517.2932,98803,,,,,,,,,
21,228,195,155,407.2851,505.4,637.7419,92861,98553,98850,220,443.9136,97661,,,,,,,,,
22,187,169,86,476.4064,548.7751,1093.977,89088,92743,94082,207,448.4541,92830,,,,,,,,,
23,244,162,111,383.4836,605.5617,895.6847,93570,98101,99421,197,495.3198,97578,,,,,,,,,
24,284,240,175,319.0176,401.3625,557.0057,90601,96327,97476,264,360.8561,95266,,,,,,,,,
25,182,151,89,509.7088,652.1126,1118.135,92767,98469,99514,188,520.0851,97776,,,,,,,,,
26,191,108,66,513.3403,937.2037,1547.848,98048,101218,102158,145,695.2897,100817,,,,,,,,,
27,247,204,147,366.2874,470.9412,667.2449,90473,96072,98085,228,416.5833,94981,,,,,,,,,
